item-name,item-body,label_int,label
firstn_append,"forall l l': list A, firstn (length l) (l ++ l') = l.",1,Lemma
firstn_append_proof,"induction n as [|k iHk]; intros l1 l2. - now simpl. - destruct l1 as [|x xs]. * unfold skipn at 2, length. repeat rewrite app_nil_l. rewrite <- Minus.minus_n_O. auto. * rewrite <- app_comm_cons. simpl. apply iHk.",1,Proof
skipn_append,"forall l l': list A, skipn (length l) (l ++ l') = l'.",1,Lemma
skipn_append_proof,induction l; intros; simpl; auto. rewrite IHl; auto.,1,Proof
skipn_all,"forall l: list A, skipn (length l) l = [].",1,Lemma
skipn_all_proof,induction l; intros; simpl; auto.,1,Proof
skipn_nil,"forall i, @skipn A i [] = [].",1,Lemma
skipn_nil_proof,induction l; intros; simpl; auto.,1,Proof
firstn_all_n,"forall (l: list A) n, length l <= n -> firstn n l = l.",1,Lemma
firstn_all_n_proof,destruct i; simpl; auto.,1,Proof
skipn_all_n,"forall (l: list A) n, length l <= n -> skipn n l = [].",1,Lemma
skipn_all_n_proof,induction l; intros; simpl. - rewrite firstn_nil; auto. - destruct n. simpl in H. lia. simpl in *. apply le_S_n in H. apply IHl in H. rewrite H; auto.,1,Proof
firstn_in,"forall x i (l: list A), In x (firstn i l) -> In x l.",1,Lemma
firstn_in_proof,induction l; intros; simpl. - rewrite skipn_nil; auto. - destruct n; simpl in *. lia. apply le_S_n in H. apply IHl; auto.,1,Proof
skipn_in,"forall x i (l: list A), In x (skipn i l) -> In x l.",1,Lemma
skipn_in_proof,induction i; intros. - simpl in H; tauto. - destruct l. + simpl in H; tauto. + simpl in H. destruct H. subst; simpl; auto. apply IHi in H. simpl; auto.,1,Proof
skipn_zero,"forall l: list A, skipn 0 l = l.",1,Lemma
skipn_zero_proof,induction i; intros. - simpl in H; tauto. - destruct l. + simpl in H; tauto. + simpl in H. apply IHi in H. simpl; auto.,1,Proof
in_skipn_cons,"forall i x y (l: list A), In x (skipn i l) -> In x (skipn i (y :: l)).",1,Lemma
in_skipn_cons_proof,destruct l; simpl; auto.,1,Proof
nodup_append,"forall l l': list A, NoDup l -> NoDup l' -> disjoint_lists l l' -> NoDup (l ++ l').",1,Lemma
nodup_append_proof,induction i; intros; simpl. - rewrite skipn_zero in H; auto. - destruct l. + simpl in H; tauto. + simpl in H; auto.,1,Proof
in_cons_app_cons,"forall x y z (l: list A), In x (y :: l ++ [z]) <-> x = y \/ In x l \/ x = z.",1,Lemma
in_cons_app_cons_proof,intros. induction H. - rewrite app_nil_l; auto. - rewrite <- app_comm_cons. apply NoDup_cons. + intro. apply in_app_iff in H3. destruct H3; intuition. apply H1 in H3; try tauto; simpl; auto. + apply IHNoDup. unfold disjoint_lists; intros. apply H1 in H4; try tauto. simpl; auto.,1,Proof
earlier_in_left,"forall l x y, earlier l x y -> In x l.",1,Lemma
earlier_in_left_proof,intros. rewrite app_comm_cons. rewrite in_app_iff; simpl. intuition.,1,Proof
earlier_in_right,"forall l x y, earlier l x y -> In y l.",1,Lemma
earlier_in_right_proof,intros. destruct H as [i]. destruct H. apply firstn_in in H; auto.,1,Proof
earlier_left,"forall p q x y, earlier p x y -> earlier (p ++ q) x y.",1,Lemma
