item-name,item-body,label_int,label
AM,:= St AM_St,2,Definition
am_newNonce,"(bs:BS) : AM nat :=
  oldSt <- get ;;
  let oldMap := am_nonceMap oldSt in
  let oldId := am_nonceId oldSt in
  let newMap := map_set oldMap oldId bs in
  let newId := oldId + 1 in
  put (mkAM_St newMap newId) ;;
  ret oldId",2,Definition
am_getNonce,"(nid:nat) : AM BS :=
  oldSt <- get ;;
  let oldMap := am_nonceMap oldSt in
  let resopt := map_get oldMap nid in
  match resopt with
  | Some res => ret res
  | None => failm
  end",2,Definition
am_runCvm_nonce,"(t:Term) (p:Plc) (bs:BS) : AM (nat * RawEv) :=
  nid <- am_newNonce bs ;;
  ret (nid, run_cvm_rawEv t p [bs])",2,Definition
empty_amst,":=
  mkAM_St map_empty 0 (* [] [] *)",2,Definition
termsub_transitive,"forall t t' t'',
    term_sub t t' ->
    term_sub t' t'' ->
    term_sub t t''",1,Lemma
termsub_transitive_proof,"generalizeEverythingElse t''.
  induction t'';
    intros H H0; ff.",0,Proof
anno_unanno,"forall t i,
    unanno (snd (anno t i)) = t",1,Lemma
anno_unanno_proof,"intros.
  generalizeEverythingElse t.
  induction t; intros.
  -
    destruct a; ff.
  -
    ff.
    erewrite <- IHt.
    jkjke.
  -
    ff.
    erewrite <- IHt1.
    erewrite <- IHt2.
    jkjke.
    jkjke.
  -
    ff.
    erewrite <- IHt1.
    erewrite <- IHt2.
    jkjke.
    jkjke.
  -
    ff.
    erewrite <- IHt1.
    erewrite <- IHt2.
    jkjke.
    jkjke.",0,Proof
eval_aeval,"forall t p e i,
    eval t p e = aeval (snd (anno t i)) p e",1,Lemma
eval_aeval_proof,"induction t; intros; simpl; auto;
    repeat expand_let_pairs; simpl;
      try (repeat jkjk; auto;congruence);
      try (repeat jkjk'; auto).",0,Proof
same_anno_range,"forall t i a b n n',
    anno t i = (n,a) ->
    anno t i = (n',b) ->
    n = n'",1,Lemma
same_anno_range_proof,"intros.
  generalizeEverythingElse t.
  induction t; intros;
    try destruct a;
    ff.",0,Proof
anno_mono,"forall (t:Term) (i j:nat) (t':AnnoTerm),
  anno t i = (j,t') ->
  j > i",1,Lemma
anno_mono_proof,"induction t; intros; (*i j t' ls b H; *)
    ff;
    repeat find_apply_hyp_hyp;
    lia.",0,Proof
anno_range,"forall x i j t',
     anno x i = (j,t') ->
    range (t') = (i, j)",1,Lemma
anno_range_proof,induction x; intros; ff.,0,Proof
anno_well_formed_r,"forall t i j t',
    anno t i = (j, t') ->
    well_formed_r_annt t'",1,Lemma
anno_well_formed_r_proof,"intros.
  generalizeEverythingElse t.
  induction t; intros.
  -
    destruct a;
      ff.
  -
    ff.
    +
      econstructor.
      eauto.
      simpl.
      erewrite anno_range.
      2: {
        eassumption.
      }
      tauto.

      simpl.
      erewrite anno_range.
      2: {
        eassumption.
      }
      tauto.

      simpl.
      assert (n > S i) by (eapply anno_mono; eauto).
      lia.
  -
    ff.
    econstructor.
    eauto.
    eauto.

    simpl.
    erewrite anno_range.
    2: {
        eassumption.
      }
    tauto.

    simpl.
    erewrite anno_range.
    2: {
        eassumption.
      }
    erewrite anno_range.
    2: {
        eassumption.
      }
    tauto.

    simpl.
    erewrite anno_range.
    2: {
        eassumption.
      }
    tauto.
      
  -
    ff.
    econstructor.
    eauto.
    eauto.

     simpl.
      erewrite anno_range.
      2: {
        eassumption.
      }
      tauto.

      simpl.
      erewrite anno_range.
      2: {
        eassumption.
      }
      erewrite anno_range.
      2: {
        eassumption.
      }
      tauto.

      simpl.
      erewrite anno_range.
      2: {
        eassumption.
      }
      tauto.

  -
    ff.
    econstructor.
    eauto.
    eauto.

     simpl.
      erewrite anno_range.
      2: {
        eassumption.
      }
      tauto.

      simpl.
      erewrite anno_range.
      2: {
        eassumption.
      }
      erewrite anno_range.
      2: {
        eassumption.
      }
      
      tauto.
      
      simpl.
      erewrite anno_range.
      2: {
        eassumption.
      }
      tauto.",0,Proof
event_id_works,"forall t,
  event_id_span' t = event_id_span (copland_compile t)",1,Lemma
event_id_works_proof,"ith (simpl in *; eauto).
  induction t...
  - destruct a... destruct s...
  - destruct s, s, s0...
  - destruct s, s, s0...",0,Proof
span_range,"forall t i j t',
  anno t i = (j, t') ->
  event_id_span' t = (j - i)",1,Lemma
span_range_proof,"intros.
  generalizeEverythingElse t.
  induction t; intros.
  -
    destruct a;
    try 
    cbn in *;
    find_inversion;
    lia.
  -
    cbn in *.
    repeat break_let.
    find_inversion.
    assert (event_id_span' t = n - (S i)).
    { eauto. }
    rewrite H.
    assert (n > (S i)).
    {
      eapply anno_mono.
      eassumption.
    }
    lia.
  -
    cbn in *.
    repeat break_let.
    repeat find_inversion.
    assert (event_id_span' t1 = (n - i)) by eauto.
    assert (event_id_span' t2 = (j - n)) by eauto.
    repeat jkjke.
    assert (n > i /\ j > n). {
      split; eapply anno_mono; eauto.
    }
    lia.
  -
    cbn in *.
    repeat break_let.
    repeat find_inversion.
    assert (event_id_span' t1 = (n - (S i))) by eauto.
    assert (event_id_span' t2 = (n0 - n)) by eauto.
    repeat jkjke.
    assert (n > S i /\ n0 > n). {
      split; eapply anno_mono; eauto.
    }
    lia.
  -
        cbn in *.
    repeat break_let.
    repeat find_inversion.
    assert (event_id_span' t1 = (n - (S i))) by eauto.
    assert (event_id_span' t2 = (n0 - n)) by eauto.
    repeat jkjke.
    assert (n > S i /\ n0 > n). {
      split; eapply anno_mono; eauto.
    }
    lia.",0,Proof
Range,: Set := nat * nat,2,Definition
range,"x :=
  match x with
  | aasp r _ => r
  | aatt r _ _ => r
  | alseq r _ _ => r
  | abseq r _ _ _ => r
  | abpar r _ _ _ => r
  end",2,Definition
annotated,"x :=
  snd (anno x 0)",2,Definition
ggc_app,"forall p0 sigbs H4 e',
    EvSub (ggc p0 sigbs H4) e' ->
    exists e'',
      EvSub
        (ggc p0 (checkSigF H4 p0 sigbs) e'')
        (build_app_comp_evC e')",1,Lemma
ggc_app_proof,"Allowed.
 *)

Lemma ggc_app: forall p0 sigbs H4 e',
    EvSub (ggc p0 sigbs H4) e' ->
    exists e'',
      EvSub
        (ggc p0 (checkSigF H4 p0 sigbs) e'')
        (build_app_comp_evC e').
Proof.
  intros.
  generalizeEverythingElse e'.
  induction e'; intros;
    ff.
  -
    evSubFacts.
    edestruct IHe'; eauto.
  -
    ff.
    invc H.
    +
      exists ((build_app_comp_evC e')).
      econstructor.
    +
      edestruct IHe'; eauto.
    
  -
    evSubFacts.
    +
      edestruct IHe'1; eauto.
    +
      edestruct IHe'2; eauto.
  -
    evSubFacts.
    +
      edestruct IHe'1; eauto.
    +
      edestruct IHe'2; eauto.",0,Proof
appraisal_correct_sig,"forall t annt e e' p ev,
    annoP annt t ->
    not_none_none t ->
    not_hash_sig_term_ev t e ->
    cvm_evidence_denote annt p e = e' ->

    sigEvent annt p (et_fun e) ev ->
    appEvent_Sig_EvidenceC ev (build_app_comp_evC e')",1,Lemma
appraisal_correct_sig_proof,"intros.
  sigEventFacts.
  sigEventPFacts.

  edestruct gg_preserved'.
  2: { eassumption. }
  2: { eassumption. }
  eassumption.
  eassumption.
  reflexivity.

  destruct_conjs.

  edestruct ggc_app.
  eassumption.

  econstructor.
  dd.
  eassumption.",0,Proof
