item-name,item-body,label_int,label
AM,:= St AM_St,2,Definition
am_newNonce,"(bs:BS) : AM nat :=
  oldSt <- get ;;
  let oldMap := am_nonceMap oldSt in
  let oldId := am_nonceId oldSt in
  let newMap := map_set oldMap oldId bs in
  let newId := oldId + 1 in
  put (mkAM_St newMap newId) ;;
  ret oldId",2,Definition
am_getNonce,"(nid:nat) : AM BS :=
  oldSt <- get ;;
  let oldMap := am_nonceMap oldSt in
  let resopt := map_get oldMap nid in
  match resopt with
  | Some res => ret res
  | None => failm
  end",2,Definition
am_runCvm_nonce,"(t:Term) (p:Plc) (bs:BS) : AM (nat * RawEv) :=
  nid <- am_newNonce bs ;;
  ret (nid, run_cvm_rawEv t p [bs])",2,Definition
empty_amst,":=
  mkAM_St map_empty 0 (* [] [] *)",2,Definition
Range,: Set := nat * nat,2,Definition
range,"x :=
  match x with
  | aasp r _ => r
  | aatt r _ _ => r
  | alseq r _ _ => r
  | abseq r _ _ _ => r
  | abpar r _ _ _ => r
  end",2,Definition
annotated,"x :=
  snd (anno x 0)",2,Definition
checkASP,"(params:ASP_PARAMS) (bs:BS) : Opt BS :=
  Some (checkASP' params bs)",2,Definition
checkHH,"(params:ASP_PARAMS) (bs:BS) (e:Evidence) : Opt BS :=
  Some (checkHH' params bs e)",2,Definition
checkEE,"(params:ASP_PARAMS) (bs:BS) : Opt BS := 
Some (checkEE' params bs)",2,Definition
decrypt_bs_to_rawev,"' (bs:BS) (params:ASP_PARAMS) : AM RawEv :=
  ret (decrypt_bs_to_rawev bs params)",2,Definition
check_asp_EXTD,"' (params:ASP_PARAMS) (p:Plc) (sig:BS) (ls:RawEv) : AM BS :=
  ret (check_asp_EXTD params p sig ls)",2,Definition
checkNonce,"' (nid:nat) (nonceCandidate:BS) : AM BS :=
  nonceGolden <- am_getNonce nid ;;
  ret (checkNonce nonceGolden nonceCandidate)",2,Definition
peel_bs,"(ls:RawEv) : Opt (BS * RawEv) :=
  match ls with
  | bs :: ls' => ret (bs, ls')
  | _ => failm
  end",2,Definition
reconstruct_ev,"(e:EvC) : Opt EvidenceC :=
  match e with
  | evc ls et => reconstruct_ev' ls et
  end",2,Definition
spc_ev,"(sp:SP) (e:EvidenceC) : EvidenceC :=
  match sp with
  | ALL => e
  | NONE => mtc
  end",2,Definition
cvm_evidence_denote_asp,"(a:ASP) (p:Plc) (e:EvidenceC) (x:Event_ID): EvidenceC :=
  match a with
  | NULL => mtc
  | CPY => e
  | ASPC sp fwd params =>
    match fwd with
    | COMP => hhc p params
                 (do_asp params (encodeEv (spc_ev sp e)) p x)
                 (sp_ev sp (et_fun e))
    | EXTD => ggc p params
                 (do_asp params (encodeEv (spc_ev sp e)) p x)
                 (spc_ev sp e)
    | ENCR => eec p params
                 (do_asp params (encodeEv (spc_ev sp e)) p x)
                 (sp_ev sp (et_fun e))
    | KEEP => (spc_ev sp e)
    | KILL => mtc (* kkc p params (sp_ev sp (et_fun e)) *)
    end
  | SIG => ggc p sig_params
              (do_asp sig_params (encodeEv e) p x)
              e
  | HSH => hhc p hsh_params
              (do_asp hsh_params (encodeEv e) p x)
              (et_fun e)
  | ENC q => eec p (enc_params q)
                (do_asp (enc_params q) (encodeEv e) p x)
                (et_fun e)
  end",2,Definition
checkASP,' (params:ASP_PARAMS) (bs:BS) : BS,2,Definition
checkHH,' (params:ASP_PARAMS) (bs:BS) (e:Evidence) : BS,2,Definition
checkEE,' (params:ASP_PARAMS) (bs:BS) : BS,2,Definition
gen_nonce_bits,: BS,2,Definition
decrypt_bs_to_rawev,(bs:BS) (params:ASP_PARAMS) : RawEv,2,Definition
check_asp_EXTD,(params:ASP_PARAMS) (p:Plc) (sig:BS) (ls:RawEv) : BS,2,Definition
checkNonce,(nonceGolden:BS) (nonceCandidate:BS) : BS,2,Definition
doRemote_session,(t:Term) (pTo:Plc) (e:EvC) : EvC,2,Definition
parallel_vm_thread,(l:Loc) (t:Term) (p:Plc) (e:EvC) : EvC,2,Definition
shuffled_events,(el1:list Ev) (el2:list Ev) : list Ev,2,Definition
cvm_events_core,(t:Core_Term) (p:Plc) (e:Evidence) : list Ev,2,Definition
cvm_evidence_core,(t:Core_Term) (p:Plc) (e:EvC) : EvC,2,Definition
cvm_events,"(t:Term) (p:Plc) (e:Evidence) : list Ev :=
  cvm_events_core (copland_compile t) p e",2,Definition
cvm_evidence,"(t:Term) (p:Plc) (e:EvC) : EvC :=
  cvm_evidence_core (copland_compile t) p e",2,Definition
BS,: Set,2,Definition
default_bs,: BS,2,Definition
passed_bs,: BS,2,Definition
failed_bs,: BS,2,Definition
splitEv_l,"(sp:Split) (e:EvC): EvC :=
  match sp with
  | (ALL, _) => e
  | _ => mt_evc
  end",2,Definition
splitEv_r,"(sp:Split) (e:EvC): EvC :=
  match sp with
  | (_,ALL) => e
  | _ => mt_evc
  end",2,Definition
splitEvl,"(sp:Split) (e:EvidenceC) : EvidenceC :=
  match sp with
  | (ALL,_) => e
  | _ => mtc
  end",2,Definition
splitEvr,"(sp:Split) (e:EvidenceC) : EvidenceC :=
  match sp with
  | (_,ALL) => e
  | _ => mtc
  end",2,Definition
isLowerAlpha,"(c : ascii) : bool :=
  let n := nat_of_ascii c in
    andb (97 <=? n) (n <=? 122)",2,Definition
isAlpha,"(c : ascii) : bool :=
  let n := nat_of_ascii c in
    orb (andb (65 <=? n) (n <=? 90))
        (andb (97 <=? n) (n <=? 122))",2,Definition
isDigit,"(c : ascii) : bool :=
  let n := nat_of_ascii c in
     andb (48 <=? n) (n <=? 57)",2,Definition
isAlphaNum,"(c : ascii) : bool :=
    orb (orb (isAlpha c) (isLowerAlpha c)) (isDigit c)",2,Definition
isUnderscore,"(c : ascii) : bool :=
    (nat_of_ascii c) =? 95",2,Definition
classifyChar,"(c : ascii) : chartype :=
  if isWhite c then
    white
  else if isAlpha c then
    alpha
  else if isDigit c then
    digit
  else if isUnderscore c then
    underscore
  else
    other",2,Definition
string_of_list,"(xs : list ascii) : string :=
  fold_right String EmptyString xs",2,Definition
token,:= string,2,Definition
tokenize,"(s : string) : list string :=
  map string_of_list (tokenize_helper white [] (list_of_string s))",2,Definition
parser,"(T : Type) :=
    list token -> optionE (T * list token)",2,Definition
many,"{T} (p : parser T) (steps : nat) : parser (list T) :=
  many_helper p [] steps",2,Definition
expect,"(t : token) : parser unit :=
  firstExpect t (fun xs => SomeE (tt, xs))",2,Definition
isIdTail,:= fun x => orb (isAlphaNum x) (isUnderscore x),2,Definition
symbol_map,:= MapD string nat,2,Definition
parseSymbol,"(xs : list token) (sm : symbol_map) 
                         : optionE (symbol_map * string * list token) :=
    match xs with
    | [] => NoneE ""Expected identifier""
    | x::xs' => match (list_of_string x) with
                | nil => NoneE (""Illegal identifier: nil - is this possible?"")
                | xh :: xt => if andb (isLowerAlpha xh) (forallb isIdTail xt) then
                                SomeE (sm, x, xs')
                              else 
                                NoneE (""Illegal Identifier: '"" ++ x ++ ""'"")
                end
    end",2,Definition
str_to_nat,"(x : list ascii) : nat :=
  (fold_left 
    (fun n d => 10 * n + (nat_of_ascii d - nat_of_ascii ""0""%char))
    x
    0
  )",2,Definition
